Timestamp,Terreno,Duracion(s)
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
2026-05-18 19:34:11,REPOSO,0.1
# NUEVA SESION - Duracion: 22.9s
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,SUELO PIEDRA
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
2026-05-18 19:45:21,REPOSO
